City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
380,san antonio de pale,-1.4014,5.6325,29.01,74,90,3.85,GQ,1712497067
381,alesund,62.4723,6.1549,11.08,66,75,9.26,NO,1712497074
382,guerrero negro,27.9769,-114.0611,14.32,51,0,4.26,MX,1712496946
383,miles city,46.4083,-105.8406,3.54,93,100,7.72,US,1712497094
384,hafnarfjordur,64.0671,-21.9377,2.93,48,40,9.77,IS,1712497099
385,santa luzia,-19.7697,-43.8514,25.5,70,40,3.6,BR,1712496862
386,micheweni,-4.9667,39.8333,29.26,75,89,5.36,TZ,1712497110
387,makueni boma,-1.8041,37.6203,24.2,72,100,2.55,KE,1712497117
388,holualoa,19.6228,-155.9522,20.91,94,75,2.57,US,1712497123
389,olinda,-8.0089,-34.8553,30.85,70,40,5.14,BR,1712497130
390,dawei,14.0833,98.2,26.38,82,2,1.41,MM,1712497142
391,banff,51.1762,-115.5698,0.21,93,99,0.0,CA,1712497134
392,ontario,34.0633,-117.6509,10.45,69,20,2.06,US,1712497050
393,bengkulu,-3.8004,102.2655,26.42,86,100,1.09,ID,1712497162
394,slave lake,55.2834,-114.769,-4.01,93,0,1.54,CA,1712497170
395,cabo san lucas,22.8909,-109.9124,19.17,73,75,3.09,MX,1712497177
396,guilin,25.2819,110.2864,16.06,91,100,2.38,CN,1712497183
397,kaliua,-5.0606,31.7936,24.28,80,100,1.03,TZ,1712497191
398,vallenar,-28.5708,-70.7581,22.61,45,0,1.63,CL,1712497198
399,santa fe do sul,-20.2111,-50.9258,29.61,57,36,3.8,BR,1712497205
400,bubaque,11.2833,-15.8333,25.71,56,83,3.55,GW,1712497219
401,vernon,50.2581,-119.2691,2.94,70,4,4.12,CA,1712497129
402,opuwo,-18.0607,13.84,32.62,30,93,5.67,,1712497232
403,port moresby,-9.4431,147.1797,26.11,85,100,1.32,PG,1712497238
404,bridgewater,44.3835,-64.5155,3.71,91,100,4.12,CA,1712497250
405,herkimer,43.0256,-74.986,8.13,65,6,2.24,US,1712497256
406,dan gora,11.5349,8.1522,38.8,13,100,3.18,NG,1712497262
407,bingol,38.8847,40.4939,12.02,72,100,7.05,TR,1712497272
408,mrakovo,52.7161,56.6244,5.29,98,100,1.39,RU,1712497278
409,dolinsk,47.35,142.8,3.18,77,4,3.04,RU,1712497285
410,northam,51.0333,-4.2167,14.66,90,96,11.55,GB,1712497293
411,conception bay south,47.4999,-52.9981,3.84,81,100,7.32,CA,1712497302
412,songea,-10.6833,35.65,28.64,54,40,6.17,TZ,1712497309
413,marsh harbour,26.5412,-77.0636,21.03,57,44,3.92,BS,1712497147
414,trairi,-3.2778,-39.2689,29.73,71,64,1.52,BR,1712497236
415,singapore,1.2897,103.8501,30.05,73,75,4.12,SG,1712497035
416,khasab,26.1799,56.2477,27.4,36,0,1.94,OM,1712497333
417,vanimo,-2.6741,141.3028,26.48,90,89,2.51,PG,1712497339
418,mahalapye,-23.1041,26.8142,24.46,52,100,8.28,BW,1712497350
419,polyarnyye zori,67.3661,32.4981,-3.9,88,100,1.62,RU,1712497355
420,sur,22.5667,59.5289,30.19,39,0,3.47,OM,1712497361
421,gereida,11.2811,25.1414,37.19,9,99,3.3,SD,1712497368
422,callao,-12.0667,-77.15,22.16,83,75,2.06,PE,1712497329
423,firmat,-33.4594,-61.4832,22.08,68,0,3.26,AR,1712497379
424,brookings,44.3114,-96.7984,6.21,88,100,8.75,US,1712497386
425,sarupathar,26.1984,93.8094,30.18,33,53,4.67,IN,1712497391
426,sretensk,52.2453,117.7093,-10.23,76,0,0.72,RU,1712497397
427,aktau,43.65,51.2,15.32,64,77,6.33,KZ,1712497403
428,hammerfest,70.6634,23.6821,-1.75,64,40,6.69,NO,1712497409
429,port arthur,38.8,121.2667,11.12,82,100,2.34,CN,1712497415
430,qa'en,33.7265,59.1844,21.55,23,48,5.98,IR,1712497421
431,chinde,26.8418,88.0763,22.62,19,97,2.87,NP,1712497425
432,as sulayyil,20.4607,45.5779,38.14,21,20,3.82,SA,1712497432
433,fortuna,40.5982,-124.1573,6.86,96,100,0.0,US,1712497438
434,urangan,-25.3,152.9,23.44,91,97,2.24,AU,1712497444
435,martapura,-3.4167,114.85,24.71,91,96,0.55,ID,1712497451
436,ninghai,29.2892,121.4247,13.0,98,100,0.95,CN,1712497462
437,sao felix do xingu,-6.6447,-51.995,24.94,91,100,0.41,BR,1712497468
438,guajara mirim,-10.7828,-65.3394,25.09,94,100,2.57,BR,1712497473
439,le port,-20.9373,55.2919,28.98,81,36,1.18,RE,1712497480
440,kendari,-3.945,122.4989,25.23,95,100,0.95,ID,1712497486
441,hotan,37.0997,79.9269,16.84,20,100,2.63,CN,1712497492
442,paita,-5.0892,-81.1144,23.25,72,72,4.02,PE,1712497497
443,dalhart,36.0595,-102.5133,4.71,35,0,6.69,US,1712497503
444,urucurituba,-2.6833,-57.6667,29.64,69,96,2.02,BR,1712497508
445,aibak,36.2647,68.0155,17.75,52,0,1.65,AF,1712497514
446,wellington,-41.2866,174.7756,11.59,87,0,2.57,NZ,1712497449
447,quellon,-43.1167,-73.6167,9.84,80,100,1.72,CL,1712497526
448,taro,-8.3862,115.28,25.0,100,100,0.85,ID,1712497532
449,mulayjah,27.271,48.4242,31.93,20,79,5.43,SA,1712497363
450,asadabad,34.7824,48.1185,22.97,28,87,4.6,IR,1712497546
451,tshikapa,-6.4167,20.8,28.8,62,70,2.02,CD,1712497554
452,pikeville,37.4793,-82.5188,7.77,70,0,0.0,US,1712497570
453,imbituba,-28.24,-48.6703,24.36,70,100,6.42,BR,1712497445
454,brisas de zicatela,15.8369,-97.0419,28.3,57,0,2.47,MX,1712497588
455,mtambile,-5.3833,39.7,28.68,77,99,5.74,TZ,1712497594
456,ak'ordat,15.5486,37.8867,38.66,17,13,7.23,ER,1712497600
457,khandyga,62.6667,135.6,-7.6,98,100,1.18,RU,1712497605
458,san pedro pochutla,15.7333,-96.4667,25.84,50,0,2.22,MX,1712497602
459,caleta de carquin,-11.0925,-77.6267,22.76,85,100,3.18,PE,1712497616
460,vredendal,-31.6683,18.5012,16.08,83,99,7.52,ZA,1712497623
461,vologda,59.2187,39.8886,5.31,52,19,3.58,RU,1712497630
462,sirte,31.2089,16.5887,21.1,40,0,4.53,LY,1712497637
463,la passe,45.5549,-0.8967,20.13,87,100,8.65,FR,1712497649
464,duekoue,6.7472,-7.3496,34.32,47,100,0.74,CI,1712497658
465,nikolayevsk-on-amure,53.1406,140.73,-0.44,93,100,3.13,RU,1712497668
466,fale old settlement,-9.3852,-171.2468,29.2,74,6,1.89,TK,1712497681
467,nova vicosa,-17.8919,-39.3719,27.98,58,96,3.48,BR,1712497687
468,gulu,2.7746,32.299,21.86,91,100,3.14,UG,1712497396
469,miquelon,47.0975,-56.3814,3.0,79,100,12.82,PM,1712497700
470,amble,55.3333,-1.5833,15.17,58,20,14.92,GB,1712497706
471,belvedere marittimo,39.6179,15.8617,17.89,73,8,1.14,IT,1712497712
472,flying fish cove,-10.4217,105.6791,26.82,89,100,4.12,CX,1712497718
473,dehdasht,30.7949,50.5646,23.99,29,100,1.58,IR,1712497724
474,fada,9.5667,8.3,39.94,14,81,2.29,NG,1712497729
475,vargem grande,-3.5431,-43.9158,23.5,98,100,0.41,BR,1712497735
476,zhanaozen,43.3,52.8,19.1,32,99,3.08,KZ,1712497750
477,boundiali,9.5217,-6.4869,29.86,58,100,1.51,CI,1712497755
478,harstad,68.799,16.5293,0.64,83,100,9.83,NO,1712497761
479,haiku-pauwela,20.9219,-156.3051,20.58,85,0,3.58,US,1712497586
480,saint-philippe,-21.3585,55.7679,27.77,82,34,2.2,RE,1712497772
481,colonia,50.9333,6.95,24.42,44,0,5.14,DE,1712497704
482,plettenberg bay,-34.0527,23.3716,17.88,91,95,9.81,ZA,1712497784
483,kolonia,50.9333,6.95,24.42,44,0,5.14,DE,1712497790
484,piacabucu,-10.4056,-36.4344,30.83,64,25,3.71,BR,1712497796
485,titao,13.7667,-2.0667,40.11,16,100,2.08,BF,1712497801
486,zaozersk,69.4005,32.4476,-3.7,85,100,2.93,RU,1712497807
487,concordia,-31.393,-58.0209,20.99,75,75,2.68,AR,1712497812
488,afaahiti,-17.75,-149.2833,25.93,84,100,5.4,PF,1712497817
489,plastun,44.7561,136.2939,4.18,58,7,1.43,RU,1712497823
490,tauranga,-37.6861,176.1667,13.3,87,100,1.62,NZ,1712497800
491,baise city,23.8997,106.6133,21.3,99,100,1.24,CN,1712497835
492,zabaykal'sk,49.6333,117.3167,-5.43,28,0,0.79,RU,1712497840
493,forster,-32.1667,152.5167,17.38,100,0,2.12,AU,1712497846
494,vorkuta,67.5,64.0,-7.16,87,100,6.71,RU,1712497852
495,kehychivka,49.2866,35.7615,18.47,47,100,3.04,UA,1712497857
496,asau,46.4333,26.4,18.51,51,98,3.02,RO,1712497862
497,kayangel,8.0823,134.7173,28.45,70,48,7.64,PW,1712497868
498,mukalla,14.5425,49.1242,28.3,56,7,2.58,YE,1712497873
499,barra de santo antonio,-9.4047,-35.5072,30.6,70,100,3.1,BR,1712497879
500,chipinge,-20.1883,32.6236,21.96,77,100,3.37,ZW,1712497884
501,sao raimundo das mangabeiras,-7.0219,-45.4811,29.4,72,85,0.99,BR,1712497890
502,tuapse,44.1125,39.0742,18.17,47,1,9.34,RU,1712497684
503,bandiagara,14.3501,-3.6104,41.13,11,18,2.38,ML,1712497901
504,juegang,32.3174,121.1855,9.02,90,100,4.13,CN,1712497906
505,soe,-9.8607,124.284,20.28,97,76,1.41,ID,1712497913
506,midvagur,62.0511,-7.1939,7.46,87,100,11.83,FO,1712497918
507,mar del plata,-38.0023,-57.5575,23.38,67,0,5.14,AR,1712497730
508,vila velha,-20.3297,-40.2925,29.42,74,40,3.6,BR,1712497648
509,unai,-16.3575,-46.9061,27.58,64,41,2.8,BR,1712497711
510,rolla,37.9514,-91.7713,16.03,62,21,8.49,US,1712497706
511,whangarei,-35.7317,174.3239,12.45,93,10,1.07,NZ,1712497949
512,sao joao da barra,-21.6403,-41.0511,29.05,70,0,0.63,BR,1712497955
513,maun,-19.9833,23.4167,32.39,27,100,0.67,BW,1712497960
514,oranjemund,-28.55,16.4333,17.42,71,4,5.48,,1712497966
515,nagqu,31.5,92.0,1.9,19,99,3.83,CN,1712497970
516,darhan,49.4867,105.9228,8.48,58,54,1.61,MN,1712497974
517,wau,7.7029,27.9953,33.53,39,95,5.0,SS,1712497978
518,villa gesell,-37.2639,-56.973,21.44,64,5,5.8,AR,1712497982
519,siwa oasis,29.2041,25.5195,27.78,17,0,6.85,EG,1712497986
520,san luis de la loma,17.2706,-100.8939,27.77,45,0,0.92,MX,1712497993
521,saint-leu,-21.15,55.2833,28.46,82,21,2.51,RE,1712497997
522,verkhniy ufaley,56.0567,60.2306,1.86,92,100,3.34,RU,1712498001
523,yanykurgan,43.915,67.2481,19.28,36,77,1.62,KZ,1712498005
524,santa terezinha,-29.9002,-50.0904,19.09,96,100,2.53,BR,1712498009
525,marovoay,-16.1,46.6333,32.08,57,7,1.08,MG,1712498013
526,antsiranana,-12.2787,49.2917,29.42,70,40,4.12,MG,1712498017
527,chonchi,-42.6128,-73.8092,10.62,93,100,0.71,CL,1712498021
528,kentville,45.0835,-64.4988,4.11,84,100,4.12,CA,1712498024
529,boumagueur,35.5052,5.5525,27.82,11,92,4.53,DZ,1712498028
530,shagonar,51.5333,92.8,6.99,80,100,0.63,RU,1712498032
531,meadow lake,34.8014,-106.5436,4.16,40,0,2.14,US,1712498036
532,rensselaer,42.7168,-73.4829,4.47,75,85,4.42,US,1712498006
533,yichang,30.7144,111.2847,17.13,76,86,0.25,CN,1712498044
534,bukoba,-1.3317,31.8122,23.99,69,40,2.57,TZ,1712498048
535,rajaldesar,28.0333,74.4667,29.61,10,4,2.23,IN,1712498051
536,robit,12.0167,39.6333,26.43,49,73,1.4,ET,1712498055
537,anshun,26.25,105.9333,11.44,85,100,3.54,CN,1712498059
538,cox's bazar,21.4532,91.9798,26.43,92,1,2.53,BD,1712497859
539,katsuura,35.1333,140.3,16.47,94,100,1.59,JP,1712498067
540,saint-denis,48.9167,2.3333,19.49,67,100,4.12,FR,1712498071
541,yangquan,37.8575,113.5633,17.27,45,94,0.73,CN,1712497861
542,yanchep,-31.55,115.6833,27.07,38,4,8.38,AU,1712498078
543,anloga,5.7947,0.8973,31.08,69,45,6.8,GH,1712498083
544,graaff-reinet,-32.2522,24.5308,18.3,76,99,6.35,ZA,1712498086
545,saraipali,21.3333,83.0,31.15,29,40,2.82,IN,1712498090
546,zhytkavichy,52.2168,27.8561,15.77,56,100,1.88,BY,1712498094
547,margate,51.3813,1.3862,16.5,56,100,7.6,GB,1712498098
548,zinjibar,13.1287,45.3807,29.46,60,11,5.7,YE,1712498102
549,port douglas,-16.4833,145.4667,26.71,78,99,1.49,AU,1712498106
550,sungai raya,0.7,108.9,27.16,80,100,1.86,ID,1712498110
551,hazard,37.2495,-83.1932,7.83,54,0,1.8,US,1712498086
552,ergani,38.2653,39.7621,11.0,92,100,4.02,TR,1712498117
553,zyryanovsk,49.7386,84.2719,0.12,96,98,0.68,KZ,1712498121
554,krasnoufimsk,56.6059,57.7669,2.46,98,100,2.25,RU,1712498125
555,chengdu,30.6667,104.0667,14.94,88,20,2.0,CN,1712498031
556,susuman,62.7833,148.1667,-20.57,100,79,0.89,RU,1712498133
557,kingston,17.997,-76.7936,29.53,72,20,3.6,JM,1712498090
558,beni,0.5,29.4667,19.08,99,100,0.36,CD,1712498141
559,meadow lakes,61.6247,-149.6011,-1.05,87,100,1.79,US,1712498145
560,fort mcmurray,56.7268,-111.381,0.77,93,100,1.54,CA,1712498149
561,seydi,39.4816,62.9137,24.04,19,78,3.26,TM,1712498153
562,lompoc,34.6391,-120.4579,10.43,84,0,4.47,US,1712498157
563,cleveland,41.4995,-81.6954,10.05,69,0,0.89,US,1712497950
564,es castell,39.8795,4.2854,22.38,60,0,5.14,ES,1712498164
565,guanare,9.0418,-69.7421,31.65,46,99,2.09,VE,1712498168
566,fuglafjordur,62.244,-6.814,7.26,96,100,17.07,FO,1712498172
567,atafu village,-8.5421,-172.5159,29.32,74,97,2.12,TK,1712498136
568,al mindak,20.1588,41.2834,22.78,48,57,6.35,SA,1712498184
569,aketi,2.7388,23.7833,23.09,94,100,0.27,CD,1712498188
570,aras-asan,8.8908,126.3033,25.27,80,33,1.16,PH,1712498192
571,westport,41.1415,-73.3579,8.94,57,0,4.63,US,1712498196
572,kuanda,56.3161,116.0806,-16.82,80,7,1.18,RU,1712498200
573,eastham,41.8301,-69.9739,4.48,90,100,6.26,US,1712498035
574,velikiye luki,56.34,30.5452,13.1,69,92,4.55,RU,1712498208
575,essaouira,31.5125,-9.77,22.72,64,0,9.77,MA,1712498212
576,sandnessjoen,66.0217,12.6316,11.06,62,75,6.17,NO,1712498145
577,kruisfontein,-34.0033,24.7314,18.82,79,97,9.8,ZA,1712498220
578,lazaro cardenas,17.9583,-102.2,24.75,43,1,1.26,MX,1712498224
579,rumoi,43.9344,141.6428,6.5,82,37,2.4,JP,1712498228
580,mopti,14.6667,-4.0,39.8,8,86,1.89,ML,1712498232
581,jiexiu,37.0244,111.9125,15.82,55,99,2.19,CN,1712498236
582,katima mulilo,-17.5,24.2667,24.73,66,100,2.27,,1712498240
583,santa flavia,38.085,13.5351,28.57,40,0,3.13,IT,1712498244
584,hajin,34.6927,40.827,25.9,22,0,8.08,SY,1712498247
585,cockburn town,21.4612,-71.1419,24.81,79,40,5.04,TC,1712497977
586,novodvinsk,64.4165,40.8122,-2.14,93,100,2.19,RU,1712498047
587,puerto deseado,-47.7503,-65.8938,12.43,48,69,9.53,AR,1712498258
588,selfoss,63.9331,-20.9971,2.25,43,100,14.0,IS,1712498263
589,boromo,11.75,-2.9333,40.34,22,100,2.86,BF,1712498267
590,beau vallon,-20.4189,57.6953,29.13,79,40,3.09,MU,1712498253
591,abashiri,44.0213,144.2697,6.15,94,1,4.88,JP,1712498275
592,las terrenas,19.311,-69.5428,26.93,94,40,0.0,DO,1712498278
593,evanston,42.0411,-87.6901,8.94,64,75,3.6,US,1712498258
594,buchach,49.0625,25.388,18.54,42,55,2.3,UA,1712498286
595,huarmey,-10.0681,-78.1522,23.32,83,99,3.11,PE,1712498290
596,burang,30.25,81.1667,-9.51,68,0,2.86,CN,1712498294
597,magong,23.5654,119.5863,22.28,99,100,4.43,TW,1712498297
598,argostolion,38.1811,20.489,18.09,80,38,5.41,GR,1712498301
